IP,Cx,Cy,a0,a2,a3,a4,c,d,e
192.168.1.239,488.135238,392.703223,-2.118759e+02,1.561685e-03,-3.310505e-06,1.078871e-08,1.000266,-0.000236,-0.000491
192.168.1.240,526.601411,383.366362,-2.118046e+02,1.892318e-03,-5.505055e-06,1.479956e-08,1.000109,-0.000386,-0.000333
192.168.1.241,499.795230,387.437814,-2.135007e+02,1.761058e-03,-4.850795e-06,1.366952e-08,1.000233,-0.000025,0.000006
192.168.1.242,488.057109,386.571704,-2.126957e+02,2.113471e-03,-7.126215e-06,1.785053e-08,0.999249,0.000222,0.000245
192.168.1.243,528.079850,383.034896,-2.128844e+02,1.851315e-03,-5.414166e-06,1.484450e-08,0.999243,0.000165,0.000099
192.168.1.244,527.047034,373.789605,-2.111954e+02,1.806567e-03,-5.027216e-06,1.399323e-08,0.999800,0.000207,0.000081
192.168.1.245,511.373368,377.240376,-2.136961e+02,1.878667e-03,-5.581685e-06,1.494995e-08,0.999781,0.000136,-0.000163
192.168.1.246,525.605420,385.635984,-2.136865e+02,1.885771e-03,-5.554350e-06,1.481275e-08,1.000146,-0.000165,0.000090
192.168.1.247,511.018088,391.589434,-2.107054e+02,1.868121e-03,-5.522860e-06,1.503131e-08,0.998898,0.000096,-0.000504
192.168.1.248,491.574327,392.256115,-2.117517e+02,1.955137e-03,-6.055230e-06,1.571523e-08,1.000369,0.000123,0.000101
192.168.1.196,489.809727,392.544841,-2.104773e+02,1.476440e-03,-2.745349e-06,9.861079e-09,0.999815,0.000040,-0.000082
192.168.1.249,533.397183,374.051970,-2.136082e+02,1.384446e-03,-2.078991e-06,8.5496043-09,1.000203,-0.000025,-0.000002
192.168.1.203,494.998770,389.451476,-2.108848e+02,1.346721e-03,-1.716916e-06,7.917454e-09,0.999971,-0.000012,-0.000033
192.168.1.199,528.796222,393.394849,-2.069400e+02,1.361855e-03,-1.931019e-06,8.708974e-09,0.999973,0.000083,0.000075
192.168.1.197,510.992578,389.875649,-2.074015e+02,1.214786e-03,-4.577653e-07,5.055492e-09,1.000076,-0.000011,-0.000020
192.168.1.198,508.885468,382.331153,-2.092869e+02,1.364933e-03,-1.926693e-06,8.382371e-09,0.999529,-0.000159,-0.000090
192.168.1.195,511.991746,354.694981,-2.102894e+02,1.704834e-03,-4.373620e-06,1.302364e-08,0.999943,0.000016,0.000163
192.168.1.194,501.163886,392.752939,-2.076110e+02,1.002722e-03,1.246896e-06,1.293269e-09,1.000219,-0.000070,-0.000068
192.168.1.193,532.065437,375.455908,-2.114025e+02,1.432525e-03,-2.411857e-06,9.287897e-09,0.999333,0.000085,0.000167
192.168.1.192,513.525390,388.950284,-2.101648e+02,1.370040e-03,-1.910144e-06,8.397292e-09,1.000068,0.000046,-0.000072 
192.168.1.191,534.805435,361.979213,-2.108514e+02,1.232027e-03,-6.809923e-07,5.361362e-09,0.999614,0.000117,-0.000014
192.168.1.186,510.912197,383.196094,-2.101078e+02,1.101603e-03,8.384091e-09,4.194587e-09,0.998984,-0.000161,-0.000241
192.168.1.189,493.217618,378.603150,-2.140606e+02,1.743594e-03,-4.610083e-06,1.340874e-08,1.000019,0.000079,-0.000066
192.168.1.188,544.013274,393.978285,-2.070204e+02,1.310693e-03,-1.329329e-06,7.115795e-09,1.000020,-0.000016,0.000032
192.168.1.187,504.648649,389.070827,-2.116747e+02,1.254121e-03,-1.042049e-06,6.216755e-09,0.999664,0.000053,-0.000079
192.168.1.110,522.530379,370.047149,-2.114181e+02,1.189324e-03,-7.024885e-07,5.906994e-09,0.999911,0.000018,-0.000051
192.168.1.111,501.970336,395.671498,-2.120009e+02,1.487463e-03,-2.926995e-06,1.014419e-08,0.999942,-0.000223,0.000025
192.168.1.112,516.857087,369.142973,-2.109796e+02,1.273053e-03,-1.267944e-06,7.036814e-09,1.000068,-0.000136,-0.000069
192.168.1.114,513.525390,388.950284,-2.101648e+02,1.370040e-03,-1.910144e-06,8.397292e-09,1.000068,0.000046,-0.00007
